Date,Temperature,Precipitation,WindSpeed
2024-10-28,20.6,5.4,40.2
2024-10-29,4.0,5.4,23.8
2024-10-30,-3.9,2.6,35.6
2024-10-31,18.5,19.2,39.9
2024-11-01,-4.9,19.7,1.6
2024-11-02,6.8,18.4,7.0
2024-11-03,12.9,3.5,10.0
2024-11-04,16.9,14.2,33.2
2024-11-05,8.1,8.0,49.7
2024-11-06,5.7,11.0,21.4
2024-11-07,26.9,7.3,43.7
2024-11-08,-3.1,10.3,46.2
2024-11-09,4.4,18.5,32.0
2024-11-10,-3.4,15.7,29.0
2024-11-11,20.5,4.2,37.1
2024-11-12,28.0,8.9,36.4
2024-11-13,26.4,2.8,19.0
2024-11-14,7.6,10.0,6.5
2024-11-15,13.8,9.0,17.5
2024-11-16,25.9,12.0,16.7
2024-11-17,8.1,9.5,41.9
2024-11-18,-4.6,18.6,28.5
2024-11-19,4.5,1.3,31.3
2024-11-20,25.4,1.6,12.9
2024-11-21,26.2,13.0,22.3
2024-11-22,24.3,10.9,29.8
2024-11-23,7.1,1.1,27.3
2024-11-24,13.3,18.3,35.8
2024-11-25,-2.1,5.0,46.3
2024-11-26,29.0,12.4,30.4
